epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6571,1.04177,4.44945,1.42959,0.00361,0.59608,0.03857,0.01011,0.91149,5.20628,0.93522,2.142e-05,2.142e-05,2.142e-05
2,31.9486,0.99706,4.32068,1.36676,0.01577,0.5502,0.04871,0.02267,0.93133,5.19572,0.93494,3.34866e-05,3.34866e-05,3.34866e-05
3,47.0469,0.9666,4.63648,1.33395,0.03823,0.5502,0.05071,0.03544,0.95262,5.18636,0.9397,2.67036e-05,2.67036e-05,2.67036e-05
