epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,634.56,0.84913,1.92316,1.38513,0.59443,0.40932,0.57529,0.41989,1.25762,3.93422,1.31683,0.000424187,0.000424187,0.000424187
43,648.981,0.74198,1.60154,1.14764,0.54641,0.6,0.62853,0.48261,1.24954,3.87912,1.3247,0.000417119,0.000417119,0.000417119
44,663.447,0.65898,1.86068,1.13113,0.58046,0.59186,0.6319,0.48728,1.24825,3.91121,1.30904,0.00041005,0.00041005,0.00041005
45,677.97,0.66384,1.44639,1.14554,0.7516,0.58,0.5721,0.43665,1.28142,3.92662,1.28955,0.000402982,0.000402982,0.000402982
46,692.716,0.66559,1.51825,1.091,0.72659,0.54093,0.57437,0.44231,1.30778,3.91123,1.29188,0.000395913,0.000395913,0.000395913
47,707.212,0.7126,1.61033,1.1094,0.75492,0.47729,0.54537,0.40824,1.32491,3.85159,1.31117,0.000388844,0.000388844,0.000388844
48,721.662,0.81028,1.6313,1.23189,0.57987,0.49186,0.51249,0.38124,1.33698,3.79029,1.32517,0.000381776,0.000381776,0.000381776
49,736.193,0.73971,1.40118,1.1252,0.68153,0.37189,0.51205,0.37884,1.30265,3.78086,1.30967,0.000374707,0.000374707,0.000374707
50,750.626,0.56895,5.08485,0.89119,0.88245,0.26432,0.4976,0.37344,1.28114,3.80755,1.2881,0.000367639,0.000367639,0.000367639
51,765.13,0.7204,1.51988,1.1352,0.81785,0.29985,0.49554,0.37645,1.24014,3.79464,1.2706,0.00036057,0.00036057,0.00036057
52,779.702,0.67981,1.63287,1.20472,0.62295,0.50978,0.59438,0.45481,1.21059,3.71807,1.24959,0.000353501,0.000353501,0.000353501
53,794.518,0.7057,1.80165,1.07442,0.71161,0.43922,0.59725,0.45244,1.17385,3.698,1.23737,0.000346433,0.000346433,0.000346433
54,809.093,0.89922,1.56671,1.24629,0.46305,0.47158,0.52684,0.40314,1.15882,3.74142,1.22659,0.000339364,0.000339364,0.000339364
55,823.782,0.68283,1.41171,1.15191,0.88681,0.33333,0.50596,0.39522,1.11761,3.87343,1.21764,0.000332296,0.000332296,0.000332296
56,838.297,0.63539,1.63648,1.07688,0.42789,0.71182,0.49093,0.39447,1.08883,3.90851,1.21308,0.000325227,0.000325227,0.000325227
57,852.753,0.58471,1.52596,1.02938,0.62975,0.60588,0.48026,0.38325,1.05423,3.92937,1.19747,0.000318158,0.000318158,0.000318158
58,867.302,0.64085,1.37485,1.1033,0.41828,0.71413,0.50244,0.40313,1.05438,3.90779,1.19294,0.00031109,0.00031109,0.00031109
59,881.747,0.52304,1.26173,0.94517,0.51439,0.7116,0.50763,0.41346,1.06092,3.80917,1.18264,0.000304021,0.000304021,0.000304021
60,896.12,0.70033,1.6901,1.10159,0.5541,0.71116,0.54975,0.44192,1.08452,3.72367,1.19698,0.000296953,0.000296953,0.000296953
61,910.498,0.58581,1.54948,1.08445,0.64638,0.63825,0.56748,0.46194,1.10823,3.62513,1.22101,0.000289884,0.000289884,0.000289884
62,925.069,0.66713,1.27873,1.1343,0.65661,0.61524,0.62496,0.50978,1.1183,3.54951,1.23145,0.000282815,0.000282815,0.000282815
63,939.769,0.78392,1.80883,1.18944,0.48126,0.70771,0.58944,0.4748,1.1183,3.54469,1.22803,0.000275747,0.000275747,0.000275747
64,954.218,0.69098,1.42116,1.03529,0.52517,0.48071,0.57528,0.4622,1.10726,3.5129,1.21442,0.000268678,0.000268678,0.000268678
65,968.553,0.65108,1.697,1.1771,0.73667,0.47905,0.59581,0.49265,1.10101,3.4645,1.20466,0.00026161,0.00026161,0.00026161
66,983.08,0.6275,1.19831,1.04007,0.72953,0.48211,0.60042,0.50834,1.07981,3.46423,1.18443,0.000254541,0.000254541,0.000254541
67,997.389,0.62962,1.32515,1.01277,0.73593,0.54806,0.61203,0.52038,1.04136,3.4658,1.16846,0.000247472,0.000247472,0.000247472
68,1011.76,0.63349,1.3609,1.07161,0.75241,0.54581,0.61376,0.52834,1.01685,3.44722,1.15636,0.000240404,0.000240404,0.000240404
69,1026.19,0.58573,1.40056,1.06648,0.75511,0.55077,0.63493,0.54325,0.9942,3.37805,1.14961,0.000233335,0.000233335,0.000233335
70,1040.47,0.66116,1.36891,1.17988,0.76553,0.55995,0.69604,0.5721,0.97654,3.28691,1.14617,0.000226267,0.000226267,0.000226267
71,1054.73,0.54949,1.15075,1.01852,0.77098,0.55895,0.70204,0.57928,0.99088,3.2241,1.15425,0.000219198,0.000219198,0.000219198
72,1069.13,0.5391,1.18104,0.98069,0.76172,0.55541,0.70295,0.56679,1.02208,3.19893,1.17358,0.000212129,0.000212129,0.000212129
73,1083.55,0.57524,1.20824,1.01437,0.75561,0.5603,0.70643,0.57085,1.04997,3.16542,1.18895,0.000205061,0.000205061,0.000205061
74,1098.2,0.56605,1.45715,1.08831,0.80147,0.48208,0.71357,0.56406,1.05565,3.11477,1.19627,0.000197992,0.000197992,0.000197992
75,1112.46,0.61706,1.31064,0.974,0.81068,0.5571,0.73886,0.58423,1.06606,3.04991,1.20187,0.000190924,0.000190924,0.000190924
76,1126.81,0.54268,1.25509,0.99659,0.85109,0.52694,0.73154,0.60246,1.07038,3.01635,1.20165,0.000183855,0.000183855,0.000183855
77,1142.42,0.62461,1.29184,1.05381,0.90765,0.47709,0.73597,0.6063,1.07917,3.00621,1.20448,0.000176786,0.000176786,0.000176786
78,1157.1,0.52501,1.17845,1.00901,0.8826,0.54117,0.76959,0.62257,1.08923,2.97735,1.21338,0.000169718,0.000169718,0.000169718
79,1171.57,0.47104,1.03424,1.00241,0.87378,0.4799,0.75363,0.61073,1.09915,2.96543,1.22294,0.000162649,0.000162649,0.000162649
80,1186.14,0.51094,1.16319,0.96516,0.83383,0.59716,0.88683,0.70113,1.09308,2.9079,1.22439,0.000155581,0.000155581,0.000155581
81,1201.63,0.6424,1.10213,1.06627,0.49263,0.88758,0.88769,0.69886,1.07657,2.88802,1.20931,0.000148512,0.000148512,0.000148512
82,1216.74,0.61653,1.44781,1.15235,0.49566,0.88418,0.8882,0.70522,1.05615,2.89386,1.19314,0.000141443,0.000141443,0.000141443
83,1231.65,0.46446,1.19462,1.01748,0.48864,0.88166,0.78875,0.63333,1.04072,2.90784,1.17306,0.000134375,0.000134375,0.000134375
84,1246.3,0.48189,1.06715,0.93051,0.48722,0.88627,0.88853,0.71241,1.03427,2.90275,1.16443,0.000127306,0.000127306,0.000127306
85,1260.95,0.48458,1.06093,0.96222,0.4775,0.88874,0.8723,0.71204,1.03775,2.89154,1.16243,0.000120238,0.000120238,0.000120238
86,1275.34,0.52076,1.18419,0.9728,0.46652,0.89018,0.87217,0.71273,1.04339,2.88207,1.16414,0.000113169,0.000113169,0.000113169
87,1289.68,0.47939,1.03761,0.96191,0.88335,0.53495,0.87208,0.69759,1.04282,2.8903,1.16514,0.0001061,0.0001061,0.0001061
88,1304.04,0.53335,1.0935,0.9511,0.83857,0.65143,0.90579,0.74236,1.04378,2.85415,1.16979,9.90318e-05,9.90318e-05,9.90318e-05
89,1318.4,0.40895,1.29278,0.88255,0.89309,0.54349,0.8726,0.71758,1.04443,2.85958,1.1735,9.19632e-05,9.19632e-05,9.19632e-05
90,1332.71,0.46213,1.17882,0.94935,0.91084,0.57372,0.90618,0.74454,1.04855,2.83185,1.17796,8.48946e-05,8.48946e-05,8.48946e-05
91,1347.03,0.49702,1.48465,1.10304,0.54541,0.88084,0.90567,0.74732,1.04125,2.79824,1.17959,7.7826e-05,7.7826e-05,7.7826e-05
92,1361.49,0.5564,1.61502,1.26715,0.63513,0.87698,0.8723,0.72216,1.04499,2.77297,1.18387,7.07574e-05,7.07574e-05,7.07574e-05
93,1375.75,0.61426,1.58431,1.387,0.64347,0.8617,0.87862,0.71809,1.04516,2.77979,1.18352,6.36888e-05,6.36888e-05,6.36888e-05
94,1389.87,0.36384,1.31234,0.86409,0.62737,0.81803,0.87221,0.7129,1.03905,2.77737,1.18025,5.66202e-05,5.66202e-05,5.66202e-05
95,1404.18,0.42811,1.34773,0.95677,0.6207,0.81728,0.87234,0.71288,1.03302,2.78284,1.17677,4.95516e-05,4.95516e-05,4.95516e-05
96,1418.36,0.35388,1.41677,0.88257,0.6325,0.85317,0.84597,0.6901,1.02842,2.78639,1.17623,4.2483e-05,4.2483e-05,4.2483e-05
97,1432.46,0.41866,1.46543,0.96796,0.61327,0.84478,0.84206,0.68644,1.02073,2.81261,1.1717,3.54144e-05,3.54144e-05,3.54144e-05
98,1446.64,0.60189,1.90575,1.15697,0.60126,0.8523,0.84258,0.68972,1.01478,2.81989,1.16543,2.83458e-05,2.83458e-05,2.83458e-05
99,1460.95,0.93711,1.73871,1.26373,0.62957,0.8685,0.87302,0.71343,1.01035,2.80911,1.16467,2.12772e-05,2.12772e-05,2.12772e-05
100,1475.52,0.36881,1.2616,0.8615,0.61716,0.869,0.87359,0.72877,1.01074,2.81824,1.16244,1.42086e-05,1.42086e-05,1.42086e-05
