epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
72,66.7649,1.28068,0.71154,1,0.79417,0.000212129,0.000212129,0.000212129
73,67.5927,1.15235,0.69231,1,0.87765,0.000205061,0.000205061,0.000205061
74,68.5192,0.79986,0.71154,1,0.85004,0.000197992,0.000197992,0.000197992
75,69.3906,1.21439,0.73077,1,0.84293,0.000190924,0.000190924,0.000190924
76,70.3088,1.16443,0.69231,1,0.92805,0.000183855,0.000183855,0.000183855
77,71.2713,0.90861,0.71154,1,0.92705,0.000176786,0.000176786,0.000176786
78,72.1619,1.10696,0.73077,1,0.93059,0.000169718,0.000169718,0.000169718
79,72.9483,1.01146,0.73077,1,0.88075,0.000162649,0.000162649,0.000162649
80,73.8009,0.97786,0.73077,1,0.79421,0.000155581,0.000155581,0.000155581
81,74.6386,0.90488,0.73077,1,0.76677,0.000148512,0.000148512,0.000148512
82,75.3681,1.1945,0.75,1,0.92987,0.000141443,0.000141443,0.000141443
83,76.2383,1.07975,0.76923,1,0.83125,0.000134375,0.000134375,0.000134375
84,77.171,1.0247,0.76923,1,0.76251,0.000127306,0.000127306,0.000127306
85,78.1058,1.03401,0.76923,1,0.73164,0.000120238,0.000120238,0.000120238
86,79.0171,1.06177,0.76923,1,0.75347,0.000113169,0.000113169,0.000113169
87,79.8654,1.07529,0.76923,1,0.7855,0.0001061,0.0001061,0.0001061
88,80.6817,0.99683,0.76923,1,0.7165,9.90318e-05,9.90318e-05,9.90318e-05
89,81.6025,0.98843,0.75,1,0.72371,9.19632e-05,9.19632e-05,9.19632e-05
90,82.5781,0.94426,0.75,1,0.62018,8.48946e-05,8.48946e-05,8.48946e-05
91,83.3868,1.0407,0.75,1,0.62783,7.7826e-05,7.7826e-05,7.7826e-05
92,84.2876,1.01676,0.75,1,0.60458,7.07574e-05,7.07574e-05,7.07574e-05
93,85.1919,1.18789,0.75,1,0.62903,6.36888e-05,6.36888e-05,6.36888e-05
94,86.1134,0.83981,0.75,1,0.64283,5.66202e-05,5.66202e-05,5.66202e-05
95,86.9976,0.75417,0.75,1,0.61646,4.95516e-05,4.95516e-05,4.95516e-05
96,87.9641,0.91242,0.76923,1,0.62309,4.2483e-05,4.2483e-05,4.2483e-05
97,88.8817,1.22495,0.75,1,0.66738,3.54144e-05,3.54144e-05,3.54144e-05
98,89.8141,0.88988,0.76923,1,0.64025,2.83458e-05,2.83458e-05,2.83458e-05
99,90.7245,1.2319,0.75,1,0.64668,2.12772e-05,2.12772e-05,2.12772e-05
100,91.6881,0.98597,0.75,1,0.61826,1.42086e-05,1.42086e-05,1.42086e-05
